duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id,artist_id,artist_latitude,artist_location,artist_longitude,artist_name,release,song_id,title,year
153.36444,0.235,4,0.247,-8.76,0,0.305,142.518,120.051,4,0.985,TRATLOJ128F9308ABB,ARAMIDF1187FB3D8D4,,,,Alejandro Lerner,20 Años,SOAAAQN12AB01856D3,Campeones De La Vida,0
240.29995,0.166,1,0.932,-6.735,1,0.539,226.482,166.124,4,0,TRAETNO128F4222A06,ARVUVRE12420780B0B,,,,Stiff Meat,Introducing&,SOAABSU12A81C1FB9E,Lonely,0
415.81669,0,0,0.371,-9.306,1,0.356,411.312,131.272,4,0.59,TRAYPFH128E07937C3,AR5N8VN1187FB37A4E,47.60356,Seattle,-122.32944,Soundgarden,Badmotorfinger,SOAAEHR12A6D4FB060,Slaves & Bulldozers,1991
216.05832,0,2,0.543,-7.885,1,0.578,199.39,149.169,4,0.315,TRAMPCN12903CC4E5B,AR5ZGC11187FB417A3,37.27188,California,-119.27023,Big Mountain,Resistance,SOAAFUV12AB018831D,Where Do The Children Play? (LP Version),0
224.7571,0.335,5,0.387,-8.419,1,0.52,210.321,103.244,4,1,TRAFUGB128F92EDEDC,ARV69FI1187B9AA14F,,,,Kari Tapio,Viimeiseen pisaraan,SOAAHZS12A8C143A21,Rakkauden veteraani,2009
247.01342,0,11,0.05,-6.08,0,0.195,247.013,114.072,5,0.583,TRBDLDS128F429C171,ARB0WNP1187B9AC4AB,,,,Samy Deluxe,So Deluxe So Glorious,SOAANKE12A8C13CF5C,Sam und Bo_ N.E.O.,2005
342.59546,2.717,10,0,-9.616,0,0,331.465,101.831,4,0.097,TRAPXTV128F423A363,ARPATQ21187B9ACAFC,53.4796,"Manchester, England",-2.24881,Happy Mondays,Bummed,SOAAQAB12A8AE4769F,"Wrote For Luck (12"" - Remastered version)",1988
195.02975,0,7,0.588,-11.149,1,0.689,192.145,91.765,3,1,TRAQHPK128F92E339B,ARKXLIJ1187B9A4C54,,,,Percy Faith & His Orchestra,16 Most Requested Songs Of The 1950s. Volume Two,SOAASSD12AB0181AA6,Song From Moulin Rouge,0
343.27465,4.046,11,0.169,-7.165,0,0.534,317.922,125.088,4,0.893,TRADSUA128C7196C7C,ARUJ5A41187FB3F5F1,,"Dublin, Ireland",,U2,Electrical Storm,SOAATRN12A6310E897,New York,2000
121.25995,0.328,2,0.057,-15.276,0,0.307,114.306,35.691,4,0,TRARDSC128F148B688,ARTT43U1187B9A9E9B,34.19423,"North Hollywood, CA",-118.39157,Shelby Flint,Cast Your Fate To The Wind,SOAAVJY12A58A8076E,I've Grown Accustomed To His Face I've Grown Accustomed To His Face,0
145.05751,2.223,11,0.717,-10.544,1,0.613,140.132,150.569,3,1,TRBFNSL128F42776F9,ARDIBRT1187B9AF176,,England,,Led Zeppelin,Led Zeppelin III,SOAAXAK12A8C13C030,Immigrant Song (Album Version),1970
16.92689,0.247,0,0,-19.585,1,0,16.927,67.03,4,0,TRAQZPU128F14B06DE,ARLR9U31187B9A71AD,42.32807,"Ann Arbor, MI",-83.7336,The Stooges,1970: The Complete Fun House Sessions,SOAAZHH12A58A7B384,Studio Dialogue (#26),0
248.2673,0,2,0.88,-6.412,1,0.716,238.846,103.982,4,0.683,TRALVHR128F1483DB3,ARG1UAO1187FB55E50,,,,Sammi Cheng,Love Is......,SOABDSJ12A6D4F9065,Liu Zi Zhen Yan,0
